John Tree Names,Gender,Languages,Form,Parent Name,Level

Yahweh,M,Hebrew,Full,N/A,0

Yehochanan,M,Hebrew,Full,Yahweh,1

Jehohanan,M,Hebrew,Full,Yehochanan,2

Yochanan,M,Hebrew,Diminutive,Yehochanan,2

Hovhannes,M,Armenian,Full,Yochanan,3

Hovik,M,Armenian,Diminutive,Hovhannes,4

Hovo,M,Armenian,Diminutive,Hovhannes,4

Ioannes,M,Greek,Full,Yochanan,3

Gianis,M,Greek,Full,Ioannes,4

Yanis,M,Greek,Variant,Gianis,5

Giannis,M,Greek,Variant,Ioannes,4

Yanni,M,Greek,Diminutive,Giannis,5

Yannis,M,Greek,Variant,Giannis,5

Yianni,M,Greek,Diminutive,Giannis,5

Yiannis,M,Greek,Variant,Giannis,5

Ioane,M,Georgian,Full,Ioannes,4

Ioanna,F,Greek,Feminine,Ioannes,4

Gianna,F,Greek,Variant,Ioanna,5

Yanna,F,Greek,Variant,Gianna,6

Yianna,F,Greek,Variant,Gianna,6

Nana,F,Greek,Diminutive,Ioanna,5

Iohanna,F,Latin,Full,Ioanna,5

Giovanna,F,Italian,Full,Iohanna,6

Geovana,F,Portuguese,Variant,Giovanna,7

Ghjuvanna,F,Corsican,Variant,Giovanna,7

Gianna,F,Italian,Diminutive,Giovanna,7

Gia,F,Italian,Diminutive,Gianna,8

Giana,F,English,Variant,Gianna,8

Giannina,F,Italian,Diminutive,Gianna,8

Geanina,F,Romanian,Variant,Giannina,9

Gianina,F,Romanian,Variant,Giannina,9

Nina,F,Italian,Diminutive,Giannina,9

Nina,F,Buglarian,Diminutive,Giannina,9

Nina,F,Croatian,Diminutive,Giannina,9

Nina,F,Czech,Diminutive,Giannina,9

Nina,F,Danish,Diminutive,Giannina,9

Nina,F,Dutch,Diminutive,Giannina,9

Nina,F,English,Diminutive,Giannina,9

Nena,F,English,Variant,Nina,10

Nina,F,Finnish,Diminutive,Giannina,9

Nina,F,French,Diminutive,Giannina,9

Ninette,F,French,Diminutive,Nina,10

Nina,F,German,Diminutive,Giannina,9

Nina,F,Norwegian,Diminutive,Giannina,9

Nina,F,Polish,Diminutive,Giannina,9

Nina,F,Serbian,Diminutive,Giannina,9

Nina,F,Slovak,Diminutive,Giannina,9

Nina,F,Slovene,Diminutive,Giannina,9

Nina,F,Swedish,Diminutive,Giannina,9

Zana,F,Croatian,Variant,Gianna,8

Zana,F,Slovene,Variant,Gianna,8

Gio,F,Italian,Variant,Giovanna,7

Giovana,F,Portuguese,Variant,Giovanna,7

Giovana,F,Spanish,Variant,Giovanna,7

Giovannetta,F,Italian,Diminutive,Giovanna,7

Giovannina,F,Italian,Diminutive,Giovanna,7

Vanna,F,Italian,Diminutive,Giovanna,7

Giuanna,F,Sardinian,Full,Iohanna,6

Joana,F,Catalan,Full,Iohanna,6

Joana,F,Portuguese,Full,Iohanna,6

Joaninha,F,Portuguese,Diminutive,Joana,7

Joanna,F,English,Full,Iohanna,6

Jo,F,English,Diminutive,Joanna,7

Joetta,F,English,Elaboration,Jo,8

Jody,F,English,Diminutive,Joanna,7

Jodene,F,English,Elaboration,Jody,8

Jodi,F,English,Variant,Jody,8

Jodie,F,English,Variant,Jody,8

Joanna,F,Polish,Full,Iohanna,6

Asia,F,Polish,Diminutive,Joanna,7

Joasia,F,Polish,Diminutive,Joanna,7

Johana,F,Czech,Full,Iohanna,6

Johanka,F,Czech,Diminutive,Johana,7

Johana,F,Spanish,Full,Iohanna,6

Johanna,F,Icelandic,Full,Iohanna,6

Johanna,F,Danish,Full,Iohanna,6

Hanna,F,Danish,Diminutive,Johanna,7

Jonna,F,Danish,Diminutive,Johanna,7

Johanna,F,Dutch,Full,Iohanna,6

Hanke,F,Dutch,Diminutive,Johanna,7

Hanna,F,Dutch,Diminutive,Johanna,7

Hanne,F,Dutch,Diminutive,Johanna,7

Hanneke,F,Dutch,Diminutive,Johanna,7

Hannie,F,Dutch,Diminutive,Johanna,7

Jannie,F,Dutch,Diminutive,Johanna,7

Jennigje,F,Dutch,Diminutive,Johanna,7

Johanneke,F,Dutch,Diminutive,Johanna,7

Joke,F,Dutch,Diminutive,Johanna,7

Johanna,F,English,Full,Iohanna,6

Joey,F,English,Diminutive,Johanna,7

Johanna,F,Estonian,Full,Iohanna,6

Janne,F,Estonian,Diminutive,Johanna,7

Johanna,F,Finnish,Full,Iohanna,6

Hanna,F,Finnish,Diminutive,Johanna,7

Hannele,F,Finnish,Diminutive,Johanna,7

Janna,F,Finnish,Diminutive,Johanna,7

Jonna,F,Finnish,Diminutive,Johanna,7

Johanna,F,German,Full,Iohanna,6

Hanna,F,German,Diminutive,Johanna,7

Hanne,F,German,Diminutive,Johanna,7

Johanna,F,Hungarian,Full,Iohanna,6

Hanna,F,Hungarian,Diminutive,Johanna,7

Johanna,F,Norwegian,Full,Iohanna,6

Hanna,F,Norwegian,Diminutive,Johanna,7

Johanna,F,Swedish,Full,Iohanna,6

Hanna,F,Swedish,Diminutive,Johanna,7

Jonna,F,Swedish,Diminutive,Johanna,7

Johanne,F,Danish,Full,Iohanna,6

Hanne,F,Danish,Diminutive,Johanne,7

Janne,F,Danish,Diminutive,Johanne,7

Jannie,F,Danish,Diminutive,Johanne,7

Johanne,F,Medieval French,Full,Iohanna,6

Joan,F,English,Full,Johanne,7

Jo,F,English,Diminutive,Joan,8

Joetta,F,English,Elaboration,Jo,9

Joanie,F,English,Diminutive,Joan,8

Joann,F,English,Variant,Joan,8

Joanne,F,English,Variant,Joan,8

Jonelle,F,English,Elaboration,Joan,8

Jonette,F,English,Diminutive,Joan,8

Joni,F,English,Diminutive,Joan,8

Jonie,F,English,Diminutive,Joan,8

Seonag,F,Scottish,Variant,Joan,8

Seona,F,Scottish,Anglicization,Seonag,9

Sheona,F,Scottish,Anglicization,Seonag,9

Shona,F,Scottish,Anglicization,Seonag,9

Siwan,F,Welsh,Variant,Joan,8

Joannie,F,French,Diminutive,Joan,7

Johanne,F,Norwegian,Full,Iohanna,6

Hanne,F,Norwegian,Diminutive,Johanne,7

Janne,F,Norwegian,Diminutive,Johanne,7

Jannicke,F,Norwegian,Diminutive,Janne,8

Jannike,F,Norwegian,Diminutive,Janne,8

Juana,F,Spanish,Full,Iohanna,6

Juanita,F,Spanish,Diminutive,Juana,7

Yanna,F,Breton,Full,Iohanna,6

Yanick,F,Breton,Diminutive,Yanna,7

Yannic,F,Breton,Diminutive,Yanna,7

Yannick,F,Breton,Diminutive,Yanna,7

Yannig,F,Breton,Diminutive,Yanna,7

Yanick,F,French,Diminutive,Yanna,7

Yannick,F,French,Diminutive,Yanna,7

Ioannis,M,Greek,Full,Ioannes,4

Ioannu,M,Slavic,Full,Ioannes,4

Ioan,M,Romanian,Full,Ioannu,5

Iancu,M,Romanian,Diminutive,Ioan,6

Ianis,M,Romanian,Diminutive,Ioan,6

Ioana,F,Romanian,Variant,Ioan,6

Ionela,F,Romanian,Diminutive,Ioana,7

Ionelia,F,Romanian,Elaboration,Ionela,8

Ionica,F,Romanian,Diminutive,Ioana,7

Oana,F,Romanian,Diminutive,Ioana,7

Ioann,M,Russian,Full,Ioannu,5

Ion,M,Romanian,Full,Ioannu,5

Ionel,M,Romanian,Diminutive,Ion,6

Ionica,M,Romanian,Diminutive,Ion,6

Ionut,M,Romanian,Diminutive,Ion,6

Nelu,M,Romanian,Diminutive,Ion,6

Ivan,M,Belarusian,Full,Ioannu,5

Ivan,M,Bulgarian,Full,Ioannu,5

Ivana,F,Bulgarian,Variant,Ivan,6

Ivanka,F,Bulgarian,Diminutive,Ivana,7

Vanya,F,Bulgarian,Diminutive,Ivana,7

Ivelina,F,Bulgarian,Variant,Ivan,6

Ivo,M,Bulgarian,Diminutive,Ivan,6

Vancho,M,Bulgarian,Diminutive,Ivan,6

Vanyo,M,Bulgarian,Diminutive,Ivan,6

Ivan,M,Macedonian,Full,Ioannu,5

Ivana,F,Macedonian,Variant,Ivan,6

Vana,F,Macedonian,Diminutive,Ivana,7

Ivo,M,Macedonian,Diminutive,Ivan,6

Vanco,M,Macedonian,Diminutive,Ivan,6

Vancho,M,Macedonian,Diminutive,Ivan,6

