,Name,Ranks,y1,y2,r1,r2
0,klarity,1396,2024,2025,2187,791
0,rynlee,1222,2024,2025,1977,755
0,ailanny,963,2024,2025,1895,932
0,naylani,940,2024,2025,1837,897
0,madisson,863,2024,2025,1182,319
0,liora,734,2024,2025,1634,900
0,merritt,707,2024,2025,1410,703
0,jaslyn,663,2024,2025,1659,996
0,kyomi,455,2024,2025,1003,548
0,alara,412,2024,2025,1064,652
0,analeia,406,2024,2025,920,514
0,eliora,395,2024,2025,1309,914
0,kollyns,361,2024,2025,1266,905
0,aubrie,354,2024,2025,999,1353
0,campbell,338,2024,2025,955,617
0,odette,333,2024,2025,1216,883
0,kailany,316,2024,2025,897,581
0,cattleya,308,2024,2025,904,1212
0,kiyomi,281,2024,2025,1046,765
0,jaycee,273,2024,2025,882,1155
0,aylani,269,2024,2025,562,293
0,landry,256,2024,2025,1191,935
0,evelina,249,2024,2025,1027,778
0,zendaya,246,2024,2025,943,1189
0,novalee,234,2024,2025,743,977
0,laken,231,2024,2025,1221,990
0,romy,230,2024,2025,928,698
0,colbie,226,2024,2025,1107,881
0,allyson,225,2024,2025,914,1139
0,meilani,223,2024,2025,814,591
0,alexa,223,2024,2025,806,1029
0,ainsley,221,2024,2025,704,483
0,dayana,219,2024,2025,497,716
0,addilyn,216,2024,2025,772,988
0,natasha,215,2024,2025,933,1148
0,liberty,212,2024,2025,976,1188
0,elara,211,2024,2025,1153,942
0,aleah,209,2024,2025,756,965
0,keily,208,2024,2025,983,1191
0,layan,198,2024,2025,1029,831
0,marjorie,197,2024,2025,822,1019
0,solana,196,2024,2025,691,495
0,aviana,195,2024,2025,692,887
0,andie,195,2024,2025,845,650
0,avani,192,2024,2025,998,806
0,romi,189,2024,2025,1007,818
0,miller,188,2024,2025,759,571
0,icelynn,187,2024,2025,923,1110
0,cynthia,185,2024,2025,829,1014
0,elouise,184,2024,2025,972,788
0,amyra,183,2024,2025,970,1153
0,adalee,182,2024,2025,805,987
0,lettie,179,2024,2025,936,757
0,seraphina,179,2024,2025,779,600
0,lenora,177,2024,2025,716,539
0,paloma,176,2024,2025,969,793
0,lakelynn,176,2024,2025,674,498
0,dafne,174,2024,2025,873,1047
0,tara,173,2024,2025,1020,847
0,elyse,168,2024,2025,750,918
0,kaya,166,2024,2025,967,1133
0,elsa,166,2024,2025,938,1104
0,journi,165,2024,2025,621,786
0,bexley,165,2024,2025,1128,963
0,milena,165,2024,2025,785,950
0,kendra,163,2024,2025,686,849
0,rosalyn,163,2024,2025,888,1051
0,ailani,159,2024,2025,327,168
0,arleth,159,2024,2025,428,269
0,wrenleigh,159,2024,2025,844,685
0,laylani,158,2024,2025,927,769
0,alexia,156,2024,2025,884,1040
0,julietta,155,2024,2025,974,819
0,lilyana,155,2024,2025,895,1050
0,destiny,154,2024,2025,481,635
0,bennett,153,2024,2025,1065,912
0,kaitlyn,152,2024,2025,650,802
0,elani,151,2024,2025,995,844
0,katelyn,151,2024,2025,926,1077
0,anayah,149,2024,2025,1062,913
0,elowyn,148,2024,2025,447,299
0,lottie,148,2024,2025,676,528
0,dior,147,2024,2025,979,1126
0,mariel,147,2024,2025,1040,893
0,jaylani,145,2024,2025,616,471
0,alaiya,143,2024,2025,935,792
0,quincy,142,2024,2025,957,815
0,leylani,142,2024,2025,1113,971
0,celina,142,2024,2025,971,829
0,kelsey,141,2024,2025,673,814
0,amayah,141,2024,2025,700,841
0,jamie,139,2024,2025,719,858
0,maizie,138,2024,2025,1039,901
0,adley,137,2024,2025,668,805
0,brittany,137,2024,2025,791,928
0,ivey,137,2024,2025,789,926
0,skyla,136,2024,2025,850,986
0,andi,135,2024,2025,767,632
0,carly,134,2024,2025,875,1009
0,ezra,133,2024,2025,701,834
0,kaiya,131,2024,2025,863,994
0,elia,129,2024,2025,841,970
0,arisbeth,128,2024,2025,990,862
0,jolie,128,2024,2025,902,1030
0,angela,127,2024,2025,281,408
0,jayla,126,2024,2025,404,530
0,alianna,126,2024,2025,812,938
0,tallulah,125,2024,2025,815,940
0,briana,125,2024,2025,536,661
0,megan,125,2024,2025,764,889
0,yuna,124,2024,2025,1076,952
0,zaylee,123,2024,2025,796,919
0,yaretzi,123,2024,2025,795,672
0,sky,123,2024,2025,826,949
0,briar,122,2024,2025,522,400
0,waverly,122,2024,2025,906,1028
0,darcy,121,2024,2025,978,857
0,stormi,120,2024,2025,790,910
0,yamileth,119,2024,2025,907,1026
0,amelie,118,2024,2025,710,828
0,nalani,117,2024,2025,531,414
0,zaria,117,2024,2025,828,945
0,reya,117,2024,2025,886,1003
0,jayleen,117,2024,2025,981,1098
0,novah,117,2024,2025,889,1006
0,phoenix,115,2024,2025,419,534
0,barbara,115,2024,2025,853,968
0,emi,114,2024,2025,996,882
0,belen,114,2024,2025,671,785
0,dylan,114,2024,2025,694,808
0,kiera,113,2024,2025,984,1097
0,baylor,113,2024,2025,807,694
0,sunday,113,2024,2025,1060,947
0,azari,113,2024,2025,879,766
0,angie,111,2024,2025,594,705
0,julie,110,2024,2025,763,873
0,winifred,110,2024,2025,1033,923
0,amiyah,109,2024,2025,511,620
0,jemma,109,2024,2025,757,866
0,kenzie,108,2024,2025,628,736
0,paris,108,2024,2025,484,592
0,kyra,108,2024,2025,722,830
0,love,108,2024,2025,849,957
0,winona,107,2024,2025,734,627
0,dulce,107,2024,2025,664,771
0,abby,107,2024,2025,624,731
0,analia,106,2024,2025,817,711
0,marcella,106,2024,2025,1054,948
0,leslie,106,2024,2025,606,712
0,monroe,106,2024,2025,573,467
0,jovie,105,2024,2025,626,521
0,jenesis,104,2024,2025,712,816
0,iliana,104,2024,2025,834,730
0,amaris,103,2024,2025,857,754
0,nala,103,2024,2025,753,856
0,emiliana,103,2024,2025,892,789
0,malaysia,103,2024,2025,855,958
0,lavender,102,2024,2025,993,1095
0,ruthie,102,2024,2025,883,781
0,adhara,102,2024,2025,472,370
0,marlowe,102,2024,2025,625,523
0,adrianna,102,2024,2025,770,872
0,janiyah,102,2024,2025,885,783
0,davina,101,2024,2025,648,749
0,keziah,101,2024,2025,868,767
0,paula,101,2024,2025,754,855
0,michaela,101,2024,2025,742,843
0,halo,100,2024,2025,513,613
0,marigold,100,2024,2025,690,590
0,elowen,100,2024,2025,898,798
0,clover,100,2024,2025,617,517
0,sol,99,2024,2025,821,722
0,vienna,98,2024,2025,532,434
0,alondra,97,2024,2025,583,680
0,maren,97,2024,2025,569,472
0,marilyn,96,2024,2025,665,761
0,robin,96,2024,2025,800,704
0,anika,95,2024,2025,860,955
0,ayah,94,2024,2025,964,870
0,khadija,93,2024,2025,1075,982
0,luz,92,2024,2025,747,839
0,salome,91,2024,2025,951,1042
0,journey,91,2024,2025,320,411
0,elliot,90,2024,2025,945,1035
0,arlette,90,2024,2025,584,494
0,jessica,90,2024,2025,575,665
0,bristol,89,2024,2025,639,728
0,angelica,89,2024,2025,619,708
0,alivia,89,2024,2025,395,484
0,corinne,89,2024,2025,1088,999
0,joelle,88,2024,2025,922,1010
0,kallie,88,2024,2025,846,934
0,ailany,87,2024,2025,101,14
0,danna,87,2024,2025,307,394
0,haley,86,2024,2025,775,861
0,jream,86,2024,2025,604,518
0,naya,86,2024,2025,899,813
0,amiri,86,2024,2025,878,964
0,colette,85,2024,2025,401,316
0,cordelia,85,2024,2025,1066,981
0,lakelyn,85,2024,2025,758,673
0,maddie,85,2024,2025,842,927
0,azaria,85,2024,2025,723,638
0,theodora,85,2024,2025,811,726
0,blake,85,2024,2025,210,295
0,honey,85,2024,2025,931,846
0,raina,84,2024,2025,1000,916
0,kori,84,2024,2025,894,978
0,darla,84,2024,2025,1025,941
0,amari,84,2024,2025,296,380
0,londyn,83,2024,2025,305,388
0,kara,83,2024,2025,992,1075
0,tru,83,2024,2025,891,974
0,zelda,83,2024,2025,749,832
0,marceline,82,2024,2025,506,424
0,mckenzie,82,2024,2025,494,576
0,rowyn,82,2024,2025,781,699
0,daleyza,81,2024,2025,457,538
0,cali,81,2024,2025,493,574
0,aubree,81,2024,2025,408,489
0,rosalina,80,2024,2025,761,681
0,raelyn,80,2024,2025,422,502
0,lyanna,79,2024,2025,956,877
0,murphy,79,2024,2025,476,397
0,azalea,79,2024,2025,357,278
0,ari,79,2024,2025,535,614
0,aileen,79,2024,2025,720,799
0,rivka,78,2024,2025,707,629
0,mya,78,2024,2025,366,444
0,bailee,78,2024,2025,991,1069
0,madilynn,76,2024,2025,784,860
0,emely,76,2024,2025,427,503
0,scottie,76,2024,2025,202,126
0,london,76,2024,2025,355,431
0,everlee,75,2024,2025,470,545
0,yara,75,2024,2025,582,507
0,kinley,74,2024,2025,618,692
0,sloan,74,2024,2025,766,840
0,sylvie,74,2024,2025,356,282
0,birdie,74,2024,2025,744,670
0,kayleigh,73,2024,2025,731,804
0,winnie,73,2024,2025,548,475
0,arlet,72,2024,2025,714,642
0,marisol,72,2024,2025,739,667
0,scout,72,2024,2025,925,997
0,vada,72,2024,2025,958,886
0,karla,71,2024,2025,732,803
0,loretta,71,2024,2025,677,606
0,beatrice,71,2024,2025,579,508
0,ashlyn,71,2024,2025,901,972
0,violette,71,2024,2025,965,894
0,demi,71,2024,2025,452,381
0,lorelai,70,2024,2025,403,333
0,makenna,70,2024,2025,523,593
0,anaya,70,2024,2025,406,336
0,kira,70,2024,2025,455,385
0,royalty,69,2024,2025,713,782
0,katie,69,2024,2025,577,646
0,micah,69,2024,2025,840,909
0,priscilla,69,2024,2025,613,544
0,tilly,69,2024,2025,954,885
0,mikaela,69,2024,2025,968,1037
0,estelle,68,2024,2025,641,573
0,heaven,68,2024,2025,475,543
0,rayna,68,2024,2025,728,796
0,harlee,68,2024,2025,980,1048
0,soleil,67,2024,2025,825,758
0,indigo,67,2024,2025,921,854
0,dani,67,2024,2025,680,747
0,anaiah,66,2024,2025,919,853
0,linda,66,2024,2025,836,902
0,arden,66,2024,2025,1041,975
0,lexi,65,2024,2025,563,628
0,neriah,65,2024,2025,827,762
0,christina,65,2024,2025,705,770
0,salma,65,2024,2025,872,937
0,kamila,65,2024,2025,292,357
0,fiona,65,2024,2025,405,470
0,dream,65,2024,2025,367,432
0,bellamy,64,2024,2025,861,797
0,chelsea,64,2024,2025,787,851
0,ensley,64,2024,2025,909,845
0,nicole,64,2024,2025,319,383
0,selah,63,2024,2025,279,216
0,cassidy,63,2024,2025,478,541
0,elaine,63,2024,2025,368,305
0,makenzie,63,2024,2025,637,700
0,ainara,63,2024,2025,961,898
0,jolene,63,2024,2025,603,666
0,marleigh,63,2024,2025,913,976
0,noah,63,2024,2025,561,624
0,julieta,62,2024,2025,347,285
0,eileen,62,2024,2025,592,654
0,yusra,62,2024,2025,959,1021
0,elodie,62,2024,2025,372,310
0,kinslee,62,2024,2025,1018,956
0,blaire,62,2024,2025,446,384
0,maelynn,61,2024,2025,994,1055
0,sylvia,61,2024,2025,361,300
0,arely,60,2024,2025,924,984
0,sydney,60,2024,2025,288,348
0,payton,59,2024,2025,381,440
0,izabella,59,2024,2025,505,564
0,leona,58,2024,2025,487,429
0,maisy,58,2024,2025,803,745
0,dalia,58,2024,2025,858,800
0,ariya,58,2024,2025,557,615
0,kassidy,57,2024,2025,982,1039
0,macy,57,2024,2025,663,720
0,gabrielle,57,2024,2025,576,633
0,frances,57,2024,2025,375,318
0,sariah,57,2024,2025,1008,951
0,nola,57,2024,2025,765,822
0,rory,57,2024,2025,287,230
0,giana,56,2024,2025,865,921
0,jazmin,56,2024,2025,654,710
0,ariel,56,2024,2025,300,356
0,emberly,56,2024,2025,632,688
0,lilia,56,2024,2025,915,859
0,michelle,56,2024,2025,409,465
0,denver,56,2024,2025,780,836
0,kimberly,56,2024,2025,247,303
0,leighton,55,2024,2025,397,342
0,xyla,55,2024,2025,818,763
0,siya,55,2024,2025,934,879
0,mylah,55,2024,2025,550,605
0,kaylani,55,2024,2025,240,185
0,aura,54,2024,2025,871,817
0,alyssa,54,2024,2025,399,453
0,romina,54,2024,2025,477,531
0,milan,54,2024,2025,699,753
0,carter,54,2024,2025,508,454
0,jazlyn,54,2024,2025,591,537
0,zuri,54,2024,2025,275,329
0,kataleya,53,2024,2025,512,459
0,emberlynn,53,2024,2025,876,929
0,kylee,53,2024,2025,823,876
0,regina,53,2024,2025,342,395
0,imani,53,2024,2025,526,579
0,lilianna,53,2024,2025,944,891
0,nylah,53,2024,2025,451,504
0,alexis,53,2024,2025,501,554
0,zyla,53,2024,2025,900,953
0,giovanna,52,2024,2025,930,878
0,skye,52,2024,2025,480,532
0,holland,52,2024,2025,602,550
0,selene,52,2024,2025,675,623
0,legacy,52,2024,2025,610,662
0,noor,52,2024,2025,711,659
0,annalise,52,2024,2025,461,409
0,jazmine,52,2024,2025,941,993
0,finley,52,2024,2025,363,415
0,hana,51,2024,2025,709,658
0,ariah,51,2024,2025,585,636
0,nadia,51,2024,2025,514,565
0,nancy,51,2024,2025,916,967
0,zora,51,2024,2025,918,969
0,fernanda,51,2024,2025,500,551
0,roselyn,51,2024,2025,1030,979
0,antonella,51,2024,2025,233,284
0,helena,51,2024,2025,414,363
0,samira,51,2024,2025,774,723
0,lauren,50,2024,2025,351,401
0,cheyenne,50,2024,2025,870,920
0,andrea,50,2024,2025,185,235
0,miley,50,2024,2025,388,338
0,taylor,50,2024,2025,353,403
0,angel,50,2024,2025,496,546
0,kaliyah,50,2024,2025,442,392
0,august,50,2024,2025,912,962
0,rosemary,50,2024,2025,301,251
0,hattie,50,2024,2025,384,334
0,maddison,49,2024,2025,488,439
0,charleigh,49,2024,2025,762,811
0,blair,49,2024,2025,218,169
0,calliope,48,2024,2025,499,451
0,jane,48,2024,2025,269,221
0,eve,48,2024,2025,567,519
0,lara,48,2024,2025,741,693
0,kalani,48,2024,2025,339,387
0,raegan,47,2024,2025,459,506
0,lyra,47,2024,2025,482,435
0,martha,47,2024,2025,666,713
0,teresa,47,2024,2025,864,911
0,nayeli,47,2024,2025,318,271
0,violeta,47,2024,2025,688,641
0,guinevere,47,2024,2025,946,899
0,bonnie,47,2024,2025,443,396
0,sasha,46,2024,2025,638,684
0,greta,46,2024,2025,862,908
0,veda,46,2024,2025,693,739
0,matilda,46,2024,2025,411,365
0,adele,46,2024,2025,797,751
0,amaia,46,2024,2025,601,555
0,jordan,46,2024,2025,538,584
0,julianna,46,2024,2025,352,398
0,mira,45,2024,2025,380,335
0,mariella,45,2024,2025,988,943
0,ocean,45,2024,2025,832,787
0,lyric,45,2024,2025,595,640
0,alena,45,2024,2025,752,707
0,sienna,45,2024,2025,139,94
0,jordyn,45,2024,2025,326,371
0,esme,45,2024,2025,343,298
0,poppy,45,2024,2025,337,292
0,elianna,45,2024,2025,263,218
0,brinley,44,2024,2025,564,608
0,luella,44,2024,2025,824,780
0,malani,44,2024,2025,330,374
0,alessia,44,2024,2025,282,326
0,aurelia,44,2024,2025,334,290
0,adriana,44,2024,2025,322,366
0,etta,43,2024,2025,973,930
0,soraya,43,2024,2025,911,868
0,madilyn,43,2024,2025,421,464
0,ashlynn,43,2024,2025,1023,980
0,iyla,43,2024,2025,568,525
0,cecelia,42,2024,2025,571,529
0,jennifer,42,2024,2025,544,586
0,wynter,42,2024,2025,415,457
0,valery,42,2024,2025,786,744
0,vanessa,42,2024,2025,335,377
0,ryleigh,42,2024,2025,302,344
0,amani,42,2024,2025,636,678
0,yasmin,42,2024,2025,917,959
0,emmie,42,2024,2025,737,695
0,laila,42,2024,2025,371,413
0,adelyn,41,2024,2025,314,355
0,winter,41,2024,2025,385,426
0,journee,41,2024,2025,217,258
0,daniella,41,2024,2025,509,468
0,brianna,41,2024,2025,181,222
0,adalyn,41,2024,2025,219,260
0,melissa,41,2024,2025,379,420
0,ana,41,2024,2025,204,245
0,judith,41,2024,2025,831,790
0,jimena,41,2024,2025,537,578
0,henley,41,2024,2025,960,1001
0,aylin,41,2024,2025,386,345
0,zainab,41,2024,2025,851,810
0,fallon,41,2024,2025,738,779
0,lylah,40,2024,2025,545,585
0,hadassah,40,2024,2025,530,570
0,simone,40,2024,2025,1038,998
0,anais,40,2024,2025,852,892
0,khloe,40,2024,2025,232,272
0,averie,40,2024,2025,661,701
0,mallory,40,2024,2025,412,372
0,ashley,40,2024,2025,124,164
0,oaklyn,40,2024,2025,597,637
0,avianna,40,2024,2025,555,595
0,remy,40,2024,2025,681,721
0,florence,40,2024,2025,431,391
0,april,40,2024,2025,502,542
0,kahlani,40,2024,2025,835,875
0,alisson,40,2024,2025,551,511
0,maryam,40,2024,2025,391,351
0,natalia,39,2024,2025,105,144
0,renata,39,2024,2025,520,481
0,sabrina,39,2024,2025,360,321
0,norah,39,2024,2025,223,262
0,hunter,39,2024,2025,881,842
0,celia,39,2024,2025,735,774
0,ila,39,2024,2025,679,718
0,meadow,39,2024,2025,325,286
0,oakleigh,39,2024,2025,629,668
0,bianca,38,2024,2025,462,500
0,nataly,38,2024,2025,869,907
0,marina,38,2024,2025,640,602
0,camilla,38,2024,2025,323,361
0,malaya,38,2024,2025,813,775
0,arianna,38,2024,2025,196,234
0,maliyah,38,2024,2025,588,626
0,flora,38,2024,2025,645,607
0,melany,38,2024,2025,437,399
0,amora,38,2024,2025,285,247
0,frankie,38,2024,2025,590,552
0,viviana,38,2024,2025,369,331
0,ramona,38,2024,2025,771,733
0,luisa,37,2024,2025,866,903
0,emerie,37,2024,2025,516,553
0,helen,37,2024,2025,425,462
0,tiffany,37,2024,2025,843,880
0,jaliyah,37,2024,2025,801,838
0,adelina,37,2024,2025,341,304
0,lilliana,36,2024,2025,410,446
0,rayne,36,2024,2025,942,906
0,karsyn,36,2024,2025,755,719
0,louisa,36,2024,2025,733,697
0,marley,36,2024,2025,286,322
0,hope,35,2024,2025,317,352
0,coraline,35,2024,2025,718,683
0,mariah,35,2024,2025,413,448
0,hayden,35,2024,2025,402,437
0,armani,35,2024,2025,527,562
0,macie,35,2024,2025,473,438
0,kaylee,35,2024,2025,220,255
0,lucille,35,2024,2025,274,239
0,reyna,35,2024,2025,559,594
0,veronica,35,2024,2025,392,427
0,morgan,35,2024,2025,277,312
0,mckenna,34,2024,2025,376,410
0,angelina,34,2024,2025,313,347
0,haisley,34,2024,2025,445,479
0,erin,34,2024,2025,799,833
0,aila,34,2024,2025,793,827
0,emerald,33,2024,2025,708,741
0,aliya,33,2024,2025,856,823
0,georgina,33,2024,2025,656,689
0,sevyn,33,2024,2025,608,575
0,miranda,33,2024,2025,623,656
0,skylar,33,2024,2025,134,167
0,gemma,33,2024,2025,203,170
0,blakely,33,2024,2025,158,191
0,kenna,33,2024,2025,726,759
0,ayleen,33,2024,2025,830,863
0,kyla,33,2024,2025,547,580
0,gwendolyn,33,2024,2025,393,360
0,elsie,32,2024,2025,155,123
0,annika,32,2024,2025,963,995
0,paige,32,2024,2025,378,346
0,nevaeh,32,2024,2025,133,165
0,lana,32,2024,2025,374,406
0,liana,32,2024,2025,418,386
0,saige,32,2024,2025,448,480
0,akira,31,2024,2025,952,983
0,dallas,30,2024,2025,657,687
0,amy,30,2024,2025,227,257
0,lennox,30,2024,2025,687,717
0,cleo,30,2024,2025,607,577
0,everleigh,30,2024,2025,164,194
0,charley,30,2024,2025,730,760
0,peyton,30,2024,2025,169,199
0,mikayla,30,2024,2025,778,748
0,nia,30,2024,2025,672,702
0,alora,29,2024,2025,224,195
0,hallie,29,2024,2025,149,120
0,emerson,29,2024,2025,151,122
0,aleia,29,2024,2025,962,933
0,melina,29,2024,2025,631,660
0,reina,29,2024,2025,553,582
0,ivory,29,2024,2025,407,378
0,edith,29,2024,2025,528,499
0,milana,29,2024,2025,783,812
0,kali,28,2024,2025,295,323
0,trinity,28,2024,2025,400,428
0,mae,28,2024,2025,529,501
0,jacqueline,28,2024,2025,586,558
0,mackenzie,28,2024,2025,200,228
0,carmen,28,2024,2025,417,389
0,charli,28,2024,2025,524,496
0,elise,28,2024,2025,251,223
0,xiomara,28,2024,2025,435,463
0,anne,28,2024,2025,647,619
0,kayla,28,2024,2025,336,364
0,ada,28,2024,2025,191,219
0,goldie,28,2024,2025,649,621
0,bethany,27,2024,2025,725,752
0,maia,27,2024,2025,460,433
0,braelynn,27,2024,2025,810,837
0,olive,27,2024,2025,170,197
0,rosie,27,2024,2025,310,283
0,alia,27,2024,2025,560,587
0,pearl,27,2024,2025,804,777
0,noa,27,2024,2025,253,226
0,bella,27,2024,2025,109,136
0,savannah,27,2024,2025,108,135
0,gwen,27,2024,2025,698,725
0,aniyah,27,2024,2025,458,485
0,emelia,27,2024,2025,574,601
0,bailey,27,2024,2025,182,209
0,makayla,26,2024,2025,542,568
0,dahlia,26,2024,2025,241,215
0,kimber,26,2024,2025,910,936
0,aliyah,26,2024,2025,237,263
0,opal,26,2024,2025,449,423
0,ariana,26,2024,2025,102,128
0,palmer,26,2024,2025,258,232
0,amirah,26,2024,2025,464,490
0,paislee,26,2024,2025,643,669
0,delaney,26,2024,2025,216,242
0,ellianna,26,2024,2025,669,643
0,evangeline,26,2024,2025,173,147
0,phoebe,26,2024,2025,183,157
0,mckinley,26,2024,2025,740,714
0,marlee,26,2024,2025,510,536
0,alejandra,26,2024,2025,578,604
0,zoya,25,2024,2025,977,1002
0,samantha,25,2024,2025,126,151
0,malka,25,2024,2025,986,1011
0,brylee,25,2024,2025,1017,992
0,giuliana,25,2024,2025,890,915
0,kamryn,25,2024,2025,581,556
0,elisa,25,2024,2025,433,458
0,rhea,25,2024,2025,614,639
0,margot,25,2024,2025,127,102
0,louise,25,2024,2025,541,516
0,clare,25,2024,2025,949,924
0,myla,24,2024,2025,186,210
0,carolina,24,2024,2025,429,405
0,danielle,24,2024,2025,525,549
0,elina,24,2024,2025,788,764
0,brynn,24,2024,2025,383,407
0,miracle,24,2024,2025,468,492
0,kennedi,24,2024,2025,685,709
0,aspyn,24,2024,2025,893,869
0,keilani,24,2024,2025,751,727
0,janelle,24,2024,2025,777,801
0,faye,24,2024,2025,539,515
0,siena,24,2024,2025,634,610
0,jianna,24,2024,2025,997,973
0,giselle,24,2024,2025,358,382
0,halle,24,2024,2025,572,596
0,zayla,23,2024,2025,989,1012
0,joanna,23,2024,2025,329,306
0,gracie,23,2024,2025,250,227
0,kailani,23,2024,2025,276,253
0,zariyah,23,2024,2025,622,645
0,ariyah,23,2024,2025,344,367
0,amara,23,2024,2025,121,98
0,karina,23,2024,2025,773,750
0,selena,23,2024,2025,245,268
0,maisie,23,2024,2025,256,233
0,esmeralda,23,2024,2025,350,373
0,meredith,23,2024,2025,492,469
0,stephanie,23,2024,2025,534,557
0,capri,23,2024,2025,570,547
0,johanna,23,2024,2025,848,871
0,dakota,23,2024,2025,273,296
0,khaleesi,23,2024,2025,667,690
0,zara,22,2024,2025,234,212
0,alma,22,2024,2025,471,449
0,maxine,22,2024,2025,519,497
0,lilith,22,2024,2025,255,277
0,amoura,22,2024,2025,549,527
0,kiana,22,2024,2025,721,743
0,harley,22,2024,2025,396,418
