,Name,Ranks,y1,y2,r1,r2
0,kasai,1108,2024,2025,1747,639
0,akari,1089,2024,2025,1631,542
0,eziah,789,2024,2025,1399,610
0,jasai,775,2024,2025,1214,439
0,neithan,656,2024,2025,1379,723
0,kael,573,2024,2025,1476,903
0,landry,389,2024,2025,1385,996
0,haziel,383,2024,2025,1178,795
0,syaire,322,2024,2025,1261,939
0,brewer,305,2024,2025,1109,804
0,kyaire,287,2024,2025,654,367
0,scottie,283,2024,2025,1192,909
0,eiden,273,2024,2025,810,537
0,coast,265,2024,2025,1140,875
0,karim,263,2024,2025,821,1084
0,kaycen,241,2024,2025,1215,974
0,khaza,236,2024,2025,963,1199
0,kolter,235,2024,2025,835,600
0,khai,232,2024,2025,947,1179
0,landen,230,2024,2025,815,1045
0,barron,229,2024,2025,1019,790
0,seven,228,2024,2025,894,1122
0,denim,227,2024,2025,1107,880
0,kyren,224,2024,2025,808,584
0,chozen,219,2024,2025,742,523
0,azlan,219,2024,2025,1197,978
0,truce,218,2024,2025,992,774
0,yadiel,215,2024,2025,1054,839
0,kaleo,203,2024,2025,1101,898
0,eitan,195,2024,2025,1116,921
0,nixon,194,2024,2025,867,1061
0,castiel,192,2024,2025,817,1009
0,aslan,190,2024,2025,1050,860
0,zen,188,2024,2025,956,1144
0,frankie,188,2024,2025,1110,922
0,dangelo,187,2024,2025,967,1154
0,zaylen,186,2024,2025,886,1072
0,damir,186,2024,2025,796,982
0,neythan,186,2024,2025,1112,926
0,quentin,184,2024,2025,784,968
0,kaysen,182,2024,2025,597,415
0,darren,181,2024,2025,954,1135
0,landyn,178,2024,2025,948,1126
0,foster,177,2024,2025,1078,901
0,koah,172,2024,2025,1084,912
0,izan,171,2024,2025,713,884
0,drake,168,2024,2025,659,827
0,crue,168,2024,2025,629,797
0,bryer,165,2024,2025,869,704
0,kylian,164,2024,2025,460,624
0,macklin,163,2024,2025,1161,998
0,cain,162,2024,2025,980,1142
0,hollis,161,2024,2025,1055,894
0,ermias,160,2024,2025,986,1146
0,campbell,159,2024,2025,923,764
0,trenton,157,2024,2025,885,1042
0,benson,157,2024,2025,436,279
0,allan,156,2024,2025,857,1013
0,anders,152,2024,2025,832,984
0,ozias,151,2024,2025,859,708
0,ira,150,2024,2025,972,822
0,reign,149,2024,2025,623,772
0,gage,149,2024,2025,824,973
0,ander,143,2024,2025,585,728
0,dilan,143,2024,2025,662,805
0,watson,143,2024,2025,868,1011
0,quinton,143,2024,2025,833,976
0,kase,142,2024,2025,973,1115
0,henrik,140,2024,2025,920,1060
0,kreed,139,2024,2025,1075,936
0,veer,139,2024,2025,1081,942
0,cassian,138,2024,2025,617,479
0,grey,138,2024,2025,876,1014
0,kaizen,138,2024,2025,502,364
0,callahan,137,2024,2025,364,227
0,conor,137,2024,2025,708,845
0,gatlin,137,2024,2025,889,1026
0,avyaan,136,2024,2025,722,858
0,agastya,133,2024,2025,1062,929
0,lochlan,133,2024,2025,777,644
0,azaiah,133,2024,2025,882,749
0,caius,133,2024,2025,1060,927
0,nael,132,2024,2025,1037,905
0,ulises,131,2024,2025,912,1043
0,aurelius,131,2024,2025,1122,991
0,stone,129,2024,2025,1045,916
0,eithan,129,2024,2025,226,97
0,ocean,128,2024,2025,592,720
0,truett,127,2024,2025,648,521
0,blaine,127,2024,2025,1119,992
0,cal,127,2024,2025,670,543
0,montgomery,126,2024,2025,1088,962
0,nazir,125,2024,2025,946,1071
0,toby,123,2024,2025,1102,979
0,darwin,122,2024,2025,839,961
0,dario,121,2024,2025,639,760
0,jefferson,121,2024,2025,710,831
0,eliezer,121,2024,2025,1014,893
0,ricky,121,2024,2025,828,949
0,boaz,120,2024,2025,1011,891
