,Name,Sex,Count,Year
246,elanith,f,81,1
307,akyris,m,74,1
225,simea,f,71,1
119,kyomie,f,50,1
105,kyssac,m,45,1
65,kaelis,f,45,1
647,naelith,f,44,1
515,ezaia,m,36,1
214,mirleth,f,36,1
159,kasye,m,33,1
64,rudvik,m,33,1
419,ishvik,m,31,1
130,airalani,f,30,1
125,jasleidy,f,30,1
76,zohran,m,30,1
90,jasail,m,28,1
511,zaelinne,f,25,1
173,melijah,m,24,1
192,eraya,f,23,1
278,azien,m,22,1
145,khanari,f,21,1
372,gurnawab,m,21,1
262,ormani,f,21,1
261,sevaya,f,21,1
316,azanai,f,20,1
235,myhir,m,20,1
195,aenara,f,19,1
81,kailaia,f,19,1
411,dahari,m,19,1
50,remiri,m,18,1
152,ailany,m,18,1
43,yashvik,m,18,1
479,jourmani,f,17,1
336,azhani,m,17,1
251,zairani,f,17,1
115,jacaius,m,17,1
30,neyari,f,17,1
84,elianel,m,17,1
306,izbeth,f,16,1
212,lynnde,f,16,1
562,xaviah,f,16,1
505,thiri,f,16,1
300,nahvyir,m,16,1
504,irisbeth,f,16,1
439,saeliana,f,15,1
104,mayzen,m,15,1
65,symeire,m,15,1
102,zanyri,f,15,1
11,mazim,m,15,1
442,tazmir,m,15,1
59,kaimy,f,15,1
356,azmira,f,15,1
517,yarielle,f,15,1
459,saylen,m,14,1
23,wynslee,f,14,1
98,yaidelyn,f,14,1
319,kasaii,m,14,1
149,macaya,f,14,1
480,reasyn,f,14,1
482,rahzir,m,13,1
183,jaywen,m,13,1
603,hanis,f,13,1
352,skylo,m,13,1
85,elyaneth,f,13,1
599,mireli,f,13,1
200,shivarth,m,13,1
619,alenys,f,13,1
452,neymari,m,12,1
331,jugaad,m,12,1
529,leiran,m,12,1
643,greshell,f,12,1
4,tazlynn,f,12,1
542,jezuri,f,12,1
296,adaily,f,12,1
397,laevyn,f,12,1
320,azren,m,12,1
271,lessiah,m,11,1
624,dailanys,f,11,1
315,devanshreddy,m,11,1
269,kanairi,f,11,1
266,mireina,f,11,1
221,ahauni,f,11,1
131,khrome,f,11,1
135,asmo,f,11,1
219,zendrix,m,11,1
411,kleine,f,11,1
188,rivya,f,11,1
527,kaizo,m,11,1
209,shanvik,m,11,1
127,sharvik,m,11,1
301,camazi,m,11,1
468,kelyan,m,11,1
347,isbeth,f,11,1
173,daelis,f,10,1
198,aidelynn,f,10,1
210,kysaac,m,10,1
193,neriel,m,10,1
215,ruhn,m,10,1
642,naylany,f,10,1
96,elthan,m,10,1
38,arnaaz,m,10,1
308,arizbel,f,10,1
300,taylei,f,10,1
48,saryla,f,10,1
54,blesslyn,f,10,1
2,kaelys,f,10,1
17,ramiere,m,10,1
417,kyomii,f,10,1
376,teilani,f,10,1
571,aysan,f,10,1
477,seveyah,f,10,1
448,lavanni,f,10,1
358,theodosius,m,10,1
385,akaio,m,10,1
89,sarelia,f,10,1
375,sidhvik,m,10,1
668,reumani,f,10,1
253,saelani,f,10,1
460,osier,m,10,1
232,zaelith,f,10,1
527,zhalaya,f,9,1
113,liammateo,m,9,1
443,hunain,m,9,1
426,khazai,m,9,1
57,nyairi,f,9,1
289,jrusiah,m,9,1
53,skylaine,f,9,1
154,soli,m,9,1
516,mirelith,f,9,1
236,muwahib,f,9,1
32,jzai,m,9,1
269,vidaan,m,9,1
541,ezlin,f,9,1
530,kailanis,f,9,1
530,haylo,m,9,1
362,trumani,f,9,1
357,seilani,f,9,1
429,adahia,f,9,1
235,boa,f,9,1
160,jhersi,m,9,1
246,nyaan,m,9,1
239,amiran,m,9,1
244,kamyren,m,9,1
154,ishvika,f,9,1
202,akoah,m,9,1
261,shailoh,m,9,1
184,jasaii,m,9,1
664,vyomika,f,9,1
14,romii,f,9,1
315,dailanny,f,9,1
9,prashiv,m,9,1
609,sireya,f,9,1
47,hailany,f,9,1
282,saomi,f,9,1
342,jyier,m,9,1
334,emazi,m,9,1
210,sevayah,f,9,1
104,kayleth,f,9,1
170,ridhav,m,9,1
652,evanya,f,9,1
538,kaeari,f,8,1
444,symire,m,8,1
436,nilav,m,8,1
63,shami,m,8,1
437,deison,m,8,1
144,zilo,m,8,1
156,praize,m,8,1
168,kaemani,f,8,1
179,ahylani,f,8,1
79,khyomi,f,8,1
353,chosynn,m,8,1
171,kallias,m,8,1
401,lucki,m,8,1
178,koul,m,8,1
205,yeidel,m,8,1
75,tasai,m,8,1
71,heithan,m,8,1
70,kizen,m,8,1
383,namier,m,8,1
80,araiz,m,8,1
79,krid,m,8,1
381,ziko,m,8,1
406,arenzo,m,8,1
107,dezari,f,8,1
627,tomris,f,8,1
310,mirav,m,8,1
268,khlever,f,8,1
267,haylani,f,8,1
265,zynori,f,8,1
264,aasani,f,8,1
316,hunar,m,8,1
304,barsbek,m,8,1
294,kamylo,m,8,1
657,saelynn,f,8,1
565,ness,f,8,1
233,aleandro,m,8,1
324,keiomi,f,8,1
258,keyhan,m,8,1
310,zyorah,f,8,1
303,rynlie,f,8,1
162,omira,f,8,1
161,xilani,f,8,1
572,atallah,f,8,1
37,zaelo,m,8,1
245,alytzel,f,8,1
563,milliejo,f,8,1
218,zaydence,m,8,1
26,avara,f,8,1
0,jazora,f,8,1
330,ezlyne,f,8,1
520,saiah,m,8,1
331,solanie,f,8,1
374,akoa,f,8,1
370,nepheli,f,8,1
21,daylanis,f,8,1
346,kheilany,f,8,1
40,yalanni,f,8,1
390,naelys,f,8,1
386,khyari,f,8,1
335,airany,f,8,1
426,artoria,f,8,1
554,dakhylin,m,8,1
474,shrinay,m,8,1
447,daya,m,8,1
24,syomi,f,8,1
334,kairis,f,8,1
422,aelys,f,8,1
52,elaila,f,8,1
66,sirel,f,8,1
366,aralina,f,8,1
355,radhi,f,8,1
514,lynndi,f,8,1
508,sarohi,f,8,1
229,azriana,f,8,1
330,amirius,m,8,1
111,nivaaz,m,8,1
134,kanz,f,7,1
592,savonni,f,7,1
132,layauna,f,7,1
593,kanova,f,7,1
597,mifrah,f,7,1
556,vamari,m,7,1
587,makoa,f,7,1
606,eislynn,f,7,1
126,vaylani,f,7,1
27,mayelli,f,7,1
1,eida,f,7,1
118,aseye,f,7,1
12,cazlyn,f,7,1
109,saroyah,f,7,1
111,zahana,f,7,1
321,lockett,m,7,1
311,majaliwa,m,7,1
11,cliodhna,f,7,1
128,birklynn,f,7,1
366,novanni,m,7,1
387,miylo,m,7,1
518,marsana,f,7,1
498,nirvireddy,f,7,1
499,azaire,f,7,1
397,azrah,m,7,1
403,rowoon,m,7,1
502,soleiny,f,7,1
503,ellaney,f,7,1
488,arenity,f,7,1
407,kolesen,m,7,1
359,nylarae,f,7,1
415,mycere,m,7,1
574,elianora,f,7,1
424,lasai,m,7,1
422,dabens,m,7,1
434,gurvaan,m,7,1
534,blakelei,f,7,1
559,altea,f,7,1
555,ilara,f,7,1
483,zureya,f,7,1
473,samyri,f,7,1
581,rivvy,f,7,1
475,ruthnaelle,f,7,1
467,talylah,f,7,1
579,savanii,f,7,1
519,caizyn,m,7,1
312,izayla,f,7,1
340,xarielle,f,7,1
401,jerlani,f,7,1
548,tyzeir,m,7,1
533,maylen,m,7,1
138,jaiair,m,7,1
121,kaell,m,7,1
110,espoir,m,7,1
230,saroyal,f,7,1
215,kouver,f,7,1
201,ashmira,f,7,1
13,nazlie,f,7,1
95,oziyah,m,7,1
100,rosiah,m,7,1
89,myzir,m,7,1
78,vayun,m,7,1
83,kaskile,m,7,1
213,alanis,m,7,1
198,jeanmarie,m,7,1
180,bennito,m,7,1
197,wyndham,f,7,1
94,zairon,m,7,1
551,dezekiah,m,7,1
503,cayceon,m,7,1
500,nayar,m,7,1
446,vaylor,m,7,1
55,zaralynn,f,7,1
43,dhanira,f,7,1
44,ayrani,f,7,1
463,bowdee,m,7,1
454,nekai,m,7,1
419,sanjh,f,7,1
459,rajwa,f,7,1
452,xyaira,f,7,1
453,pruett,f,7,1
446,zeri,f,7,1
436,hunni,f,7,1
427,izayah,f,7,1
378,amriella,f,7,1
365,bellarie,f,7,1
416,ailannys,f,7,1
418,makriyana,f,7,1
555,stettson,m,7,1
241,mohammedmusa,m,7,1
243,eres,m,7,1
234,naziel,m,7,1
217,teghvir,m,7,1
10,sedem,m,7,1
4,gugan,m,7,1
663,sosa,f,7,1
290,kaylibeth,f,7,1
283,kazyiah,f,7,1
185,laughlin,f,7,1
271,kovur,f,7,1
640,rifan,f,7,1
633,ailianny,f,7,1
637,naelis,f,7,1
630,zoelani,f,7,1
631,ahnaleia,f,7,1
612,komi,f,7,1
346,dakhai,m,7,1
349,eryan,m,7,1
329,lakelen,m,7,1
277,daizhani,f,7,1
190,kenslynn,f,7,1
177,mahryn,f,7,1
171,myarie,f,7,1
146,maiyon,m,7,1
77,trump,m,7,1
57,ezakai,m,7,1
58,akani,m,7,1
59,ramazani,m,7,1
60,eclipse,m,7,1
255,kahsai,m,7,1
42,azran,m,7,1
254,viyara,f,7,1
240,nazlynn,f,7,1
242,kleya,f,7,1
14,elieth,m,7,1
20,jakovi,m,7,1
286,kridhav,m,7,1
156,haina,f,7,1
144,adaleyah,f,7,1
138,brior,f,7,1
47,leyan,m,7,1
558,jamais,m,6,1
486,brinston,m,6,1
489,symier,m,6,1
490,muhammadazlan,m,6,1
58,jamesley,f,6,1
64,minky,f,6,1
67,sayari,f,6,1
41,kelaiyah,f,6,1
45,niyanni,f,6,1
51,zabely,f,6,1
477,kohaku,m,6,1
481,deyson,m,6,1
483,jhonn,m,6,1
485,ezzy,m,6,1
405,colsyn,f,6,1
407,seera,f,6,1
395,yumin,f,6,1
400,tamiri,f,6,1
543,tez,m,6,1
544,kasiel,m,6,1
545,mouhamadoul,m,6,1
546,zafari,m,6,1
547,chozin,m,6,1
549,ridhvik,m,6,1
536,yeik,m,6,1
540,mayaan,m,6,1
542,yize,m,6,1
467,atzi,m,6,1
469,eydam,m,6,1
466,khamyri,m,6,1
448,jayciel,m,6,1
450,reyom,m,6,1
451,hendrickson,m,6,1
431,saymon,m,6,1
385,yashvika,f,6,1
387,hussaina,f,6,1
389,khaeli,f,6,1
424,royalyn,f,6,1
425,tatu,f,6,1
428,varnikareddy,f,6,1
375,milanah,f,6,1
380,harsanjh,f,6,1
381,naari,f,6,1
382,ayanara,f,6,1
363,trulani,f,6,1
367,valinor,f,6,1
421,lynnyx,f,6,1
423,aletsey,f,6,1
100,taarini,f,6,1
427,buddha,m,6,1
429,juziah,m,6,1
91,azarri,f,6,1
96,cross,f,6,1
83,chaina,f,6,1
84,renlynn,f,6,1
86,wacey,f,6,1
421,devran,m,6,1
73,miora,f,6,1
75,zamary,f,6,1
412,wooju,m,6,1
413,reasyn,m,6,1
417,kyaiden,m,6,1
420,braum,m,6,1
400,dharv,m,6,1
392,kyomi,m,6,1
396,jayani,m,6,1
378,jermiri,m,6,1
461,winsleigh,f,6,1
462,jeriel,f,6,1
464,morocco,f,6,1
451,airadessa,f,6,1
460,carlani,f,6,1
441,trumoni,f,6,1
442,jamori,f,6,1
449,saiyah,f,6,1
431,rinaya,f,6,1
435,kazuri,f,6,1
367,odrit,m,6,1
370,rushdan,m,6,1
371,kashin,m,6,1
359,tyhlo,m,6,1
364,khilo,m,6,1
347,jaiyr,m,6,1
354,tadej,m,6,1
341,kavod,m,6,1
344,lirian,m,6,1
129,savoni,f,6,1
333,shragy,m,6,1
121,idunn,f,6,1
106,khlayah,f,6,1
112,naiyomi,f,6,1
299,kaleio,m,6,1
303,ayouba,m,6,1
288,tegbir,m,6,1
295,azwan,m,6,1
279,arsenios,m,6,1
281,kyezen,m,6,1
287,penuel,m,6,1
268,statten,m,6,1
272,erebus,m,6,1
273,sama,m,6,1
276,gesiah,m,6,1
277,nehkai,m,6,1
351,zahani,f,6,1
337,imory,f,6,1
339,siraiya,f,6,1
329,presence,f,6,1
471,sunaira,f,6,1
263,takoah,m,6,1
266,tymofii,m,6,1
267,zyael,m,6,1
157,aylanee,f,6,1
158,adahara,f,6,1
163,vaiolet,f,6,1
150,smiley,f,6,1
259,hanzell,m,6,1
137,adelisse,f,6,1
238,pedri,m,6,1
231,eiran,m,6,1
214,samarv,m,6,1
222,kassiel,m,6,1
203,rainiel,m,6,1
177,karti,m,6,1
179,hanu,m,6,1
181,markiyan,m,6,1
176,josepedro,m,6,1
187,elanit,f,6,1
194,nylise,f,6,1
196,dazhani,f,6,1
175,ailiani,f,6,1
182,oaklyne,f,6,1
183,jreme,f,6,1
184,aidara,f,6,1
162,jesko,m,6,1
163,fadl,m,6,1
174,reychell,f,6,1
151,kaiwan,m,6,1
157,hallel,m,6,1
512,merris,f,6,1
513,ekisha,f,6,1
515,anlan,f,6,1
519,colley,f,6,1
522,azleen,f,6,1
497,lune,f,6,1
500,vyra,f,6,1
501,virasat,f,6,1
506,anahiz,f,6,1
507,ottlie,f,6,1
509,hildi,f,6,1
358,joseanny,f,6,1
494,klairity,f,6,1
495,xamaria,f,6,1
142,cyire,m,6,1
145,uras,m,6,1
130,eike,m,6,1
124,riam,m,6,1
125,maziel,m,6,1
126,caiven,m,6,1
227,mariami,f,6,1
231,dmari,f,6,1
103,nairo,m,6,1
107,ephesian,m,6,1
218,serephina,f,6,1
219,summyah,f,6,1
223,elianee,f,6,1
206,shatakshi,f,6,1
207,mcclaine,f,6,1
208,haysleigh,f,6,1
200,katalleya,f,6,1
202,neyeli,f,6,1
569,zalaiah,f,6,1
570,suzume,f,6,1
560,xileni,f,6,1
564,yuha,f,6,1
549,sehlani,f,6,1
550,deaubri,f,6,1
539,gretchell,f,6,1
82,asiim,m,6,1
67,gloire,m,6,1
69,dhruvik,m,6,1
52,naveh,m,6,1
54,jakodah,m,6,1
55,franyer,m,6,1
61,ezaiel,m,6,1
40,sarvam,m,6,1
45,tyier,m,6,1
250,coa,f,6,1
256,briseth,f,6,1
257,iraaya,f,6,1
260,mirelly,f,6,1
239,leiari,f,6,1
248,samea,f,6,1
249,salaeli,f,6,1
233,ellamai,f,6,1
24,honesty,m,6,1
27,kaydo,m,6,1
326,vriddhi,f,6,1
585,klariti,f,6,1
589,ailanii,f,6,1
590,coven,f,6,1
320,ailith,f,6,1
322,naiyori,f,6,1
311,libba,f,6,1
313,klinkaara,f,6,1
583,jruani,f,6,1
298,sedrah,f,6,1
299,arisabella,f,6,1
301,emilianys,f,6,1
12,iru,m,6,1
16,ryloh,m,6,1
0,kaydens,m,6,1
7,alezz,m,6,1
665,winslowe,f,6,1
670,hiyori,f,6,1
671,kamakshi,f,6,1
659,myeli,f,6,1
660,crisley,f,6,1
295,naziha,f,6,1
650,raga,f,6,1
287,dailoni,f,6,1
291,rafah,f,6,1
275,ahya,f,6,1
278,nayvii,f,6,1
638,simeah,f,6,1
639,reuelle,f,6,1
645,layel,f,6,1
628,norlha,f,6,1
634,heylani,f,6,1
