Name,Sex,Count,Year
delilah,f,66683,146
athena,f,53118,116
alina,f,45387,92
helena,f,40412,146
ayla,f,38040,49
evangeline,f,36771,145
adelaide,f,35007,146
adalynn,f,34210,30
helene,f,33334,146
elaina,f,32220,85
malia,f,31606,75
izabella,f,31149,37
adalyn,f,31014,46
julianne,f,30617,114
maeve,f,29608,81
eve,f,29510,146
brenna,f,29371,80
elliana,f,28058,38
colette,f,27987,129
arabella,f,27957,131
nyla,f,27714,111
rosalind,f,27136,138
sondra,f,27074,104
susanne,f,26094,138
gemma,f,26042,121
margot,f,25568,127
frieda,f,25506,146
alessandra,f,24836,76
lilah,f,24664,137
vivienne,f,23921,130
madilyn,f,23632,58
larissa,f,23498,77
magnolia,f,23403,145
rosalyn,f,23278,125
madalyn,f,23222,127
lilliana,f,22826,69
myla,f,22134,111
kaylie,f,22101,50
bernadine,f,21933,136
elinor,f,21640,146
malinda,f,21464,146
ladonna,f,21233,116
zara,f,20930,115
corrine,f,20831,146
mikaela,f,20719,57
liana,f,20666,88
carmella,f,20653,134
anya,f,20561,72
lilian,f,20470,146
noreen,f,20108,123
kamila,f,20098,58
karissa,f,20089,65
susanna,f,19987,146
melina,f,19926,117
freya,f,19821,82
bryanna,f,19643,57
annika,f,19594,64
tabatha,f,19409,60
dahlia,f,19359,122
amina,f,19270,64
elle,f,19247,45
belle,f,19227,146
selina,f,19225,145
annmarie,f,19003,108
madelynn,f,18937,82
leia,f,18778,70
adaline,f,18766,137
eleanore,f,18724,146
valarie,f,18714,115
amiyah,f,18643,32
celine,f,18522,121
marianna,f,18444,137
aurelia,f,18435,146
maia,f,18200,74
lorelei,f,18189,105
aniya,f,18085,44
elissa,f,18033,106
anaya,f,17997,44
ilene,f,17840,132
scarlet,f,17709,87
kimberlee,f,17690,79
georgina,f,17591,145
alyce,f,17539,144
jazlyn,f,17490,45
annalise,f,17165,58
jeanie,f,17148,144
nanette,f,16894,117
deirdre,f,16845,103
anika,f,16804,60
destinee,f,16800,52
estrella,f,16799,97
adelina,f,16762,142
nona,f,16708,146
luciana,f,16629,103
aleah,f,16592,57
danica,f,16522,74
amalia,f,16478,146
cathryn,f,16332,143
ayanna,f,16326,55
thalia,f,16264,124
janna,f,16097,105
evelynn,f,16064,111
alena,f,16014,129
corina,f,15925,129
gracelyn,f,15917,53
roseann,f,15878,115
minerva,f,15823,146
shania,f,15814,56
margery,f,15791,134
kathrine,f,15775,146
lelia,f,15645,146
edwina,f,15465,140
cheyanne,f,15427,60
maliyah,f,15359,32
aubrie,f,15233,53
lynnette,f,15226,110
carlene,f,15225,122
katheryn,f,15220,146
kathie,f,15086,95
marietta,f,15055,146
briella,f,15051,32
adelynn,f,15023,34
annabella,f,15007,85
annabel,f,14974,146
tiffani,f,14919,64
ursula,f,14811,145
tess,f,14770,123
janessa,f,14722,67
roselyn,f,14556,126
kaila,f,14556,59
