name,f_sum,m_sum,total,per_diff
kaydens,5,6,11,18.181818181818183
fiore,35,465,500,172.0
kason,47,14904,14951,198.7425590261521
jaleel,24,4906,4930,198.052738336714
chester,828,121474,122302,197.29194943664046
mccarty,5,5,10,0.0
ayaat,290,8,298,189.26174496644293
jomari,59,372,431,145.24361948955917
ande,202,41,243,132.5102880658436
gino,12,13145,13157,199.63517519191305
karyn,14135,5,14140,199.85855728429988
vince,5,12705,12710,199.8426435877262
kepler,6,441,447,194.63087248322148
eslie,66,60,126,9.523809523809524
zamari,614,1628,2242,90.45495093666369
bijan,29,998,1027,188.7049659201558
jessel,174,10,184,178.26086956521738
ferry,10,65,75,146.66666666666666
yona,341,482,823,34.264884568651276
ody,5,12,17,82.35294117647058
royel,33,106,139,105.03597122302158
rhemi,219,16,235,172.76595744680853
jonie,1246,44,1290,186.3565891472868
brenyn,37,113,150,101.33333333333334
felipe,133,31825,31958,198.33531510107017
shanna,28284,88,28372,198.759340194558
roosevelt,363,37661,38024,196.18135914159478
sabar,17,24,41,34.146341463414636
samnang,28,139,167,132.93413173652695
jill,208071,501,208572,199.03918071457338
kamrin,450,1231,1681,92.92088042831648
cornelious,113,2475,2588,182.53477588871715
copeland,281,1198,1479,124.0027045300879
rovan,26,6,32,125.0
yuli,390,10,400,190.0
steven,4466,1293124,1297590,198.62329395263527
bennett,2340,72514,74854,187.49565821465785
danieal,29,13,42,76.19047619047619
penelope,109480,53,109533,199.80645102389235
quanah,40,192,232,131.0344827586207
theodore,969,317206,318175,198.78180246719572
jayse,30,2175,2205,194.5578231292517
nolen,10,3448,3458,198.84326200115675
oluwadarasimi,406,180,586,77.13310580204778
george,9963,1487297,1497260,197.33833803080293
casey,78100,116675,194775,39.6098061866256
woodie,338,1924,2262,140.22988505747128
brad,233,83060,83293,198.88105843228124
wynn,1486,2631,4117,55.62302647558902
stanley,1437,301425,302862,198.1021059096222
burdell,56,321,377,140.58355437665782
adason,5,5,10,0.0
hemi,102,186,288,58.333333333333336
raynel,5,50,55,163.63636363636365
clydell,83,137,220,49.09090909090909
tylann,5,50,55,163.63636363636365
zebbie,6,99,105,177.14285714285714
collin,525,81437,81962,197.43783704643616
edie,5672,80,5752,194.4367176634214
valentina,65147,19,65166,199.88337476598227
greysen,254,2833,3087,167.08778749595078
jamauri,11,1025,1036,195.75289575289577
taylyn,949,55,1004,178.08764940239044
carmine,487,13950,14437,186.50689201357622
ottie,1275,609,1884,70.70063694267516
terrance,751,70170,70921,195.76430112378563
jewelian,14,10,24,33.33333333333333
gill,56,1218,1274,182.41758241758242
johan,135,14653,14788,196.3483905869624
belen,12287,79,12366,197.44460617823063
aiven,8,458,466,193.13304721030042
vinnie,3119,820,3939,116.73013455191672
keyante,6,147,153,184.31372549019608
trace,348,13764,14112,190.1360544217687
bray,61,747,808,169.8019801980198
odelle,424,10,434,190.78341013824885
ercell,257,125,382,69.10994764397905
burke,70,4118,4188,193.3142311365807
henrietta,51330,57,51387,199.55630801564598
chantell,3491,5,3496,199.4279176201373
soleil,5130,42,5172,196.75174013921114
aniyah,31207,5,31212,199.9359220812508
lynden,780,1492,2272,62.676056338028175
payson,1169,1443,2612,20.980091883614087
quill,21,420,441,180.95238095238096
orrie,313,675,988,73.27935222672065
johnathan,349,98262,98611,198.58433643305514
espn,55,173,228,103.50877192982458
mati,79,67,146,16.43835616438356
othal,5,174,179,188.8268156424581
la,1442,314,1756,128.4738041002278
andri,5,153,158,187.34177215189874
kross,47,1557,1604,188.2793017456359
pema,225,12,237,179.74683544303798
dejon,77,2606,2683,188.52031308237048
oreofeoluwa,5,6,11,18.181818181818183
kish,15,5,20,100.0
naseem,255,1291,1546,134.02328589909445
sally,205229,647,205876,198.7429326390643
kalon,23,1056,1079,191.47358665430954
joziah,5,5364,5369,199.62749115291487
francis,29832,290490,320322,162.74748534287374
chudney,76,5,81,175.30864197530863
chikamso,43,72,115,50.43478260869565
jovanne,29,64,93,75.26881720430107
bliss,1790,233,2023,153.92980721700445
eboni,6522,5,6527,199.69358051172054
graison,36,431,467,169.16488222698072
kohen,154,8407,8561,192.8045789043336
curley,534,2590,3124,131.62612035851473
geraldine,211349,748,212097,198.58932469577599
damion,39,16888,16927,199.07839546286996
chayton,6,1886,1892,198.73150105708245
phelan,68,581,649,158.08936825885976
makya,1112,98,1210,167.60330578512398
swayze,948,254,1202,115.47420965058237
mikail,15,1228,1243,195.17296862429606
emoni,2891,228,3119,170.75985892914395
creedence,136,463,599,109.18196994991654
kisha,6652,12,6664,199.2797118847539
jerrell,91,7207,7298,195.01233214579338
chanse,16,1163,1179,194.57167090754876
cathleen,29923,10,29933,199.8663682223633
braily,43,5,48,158.33333333333331
minnie,159280,787,160067,198.03332354576523
glover,5,1114,1119,198.21268990169793
garrett,452,135762,136214,198.67267681736092
claiborne,27,1210,1237,191.26919967663702
adonis,101,21593,21694,198.13773393565043
shiah,129,90,219,35.61643835616438
michah,17,380,397,182.87153652392948
adrienne,68356,400,68756,197.6729303624411
melvyn,10,4360,4370,199.08466819221968
terris,143,837,980,141.6326530612245
nasiyah,398,6,404,194.05940594059405
kaydian,5,11,16,75.0
kimber,11215,451,11666,184.53625921481228
trenidad,26,29,55,10.909090909090908
perris,128,174,302,30.4635761589404
awesome,12,89,101,152.4752475247525
shaquille,387,5769,6156,174.85380116959064
tavis,6,2210,2216,198.91696750902528
eddy,392,14039,14431,189.13450211350565
shandell,526,68,594,154.20875420875421
lorine,8750,12,8762,199.4521798676101
america,13522,16,13538,199.52725661102082
elliotte,1029,63,1092,176.9230769230769
buffy,3306,6,3312,199.27536231884056
khrome,11,86,97,154.63917525773198
ardel,97,31,128,103.125
herbert,1117,228266,229383,198.05216602799683
brielle,49830,5,49835,199.95986756295775
mccrae,5,217,222,190.990990990991
coda,176,968,1144,138.46153846153845
dasmine,51,36,87,34.48275862068966
roche,15,26,41,53.65853658536586
katrell,43,474,517,166.7311411992263
zaide,105,208,313,65.814696485623
mathew,207,77538,77745,198.93497974146248
tennessee,986,381,1367,88.51499634235552
mandeep,160,251,411,44.28223844282238
marlan,14,1222,1236,195.46925566343043
marice,467,717,1184,42.22972972972973
jennifer,1471703,4837,1476540,198.689639291858
lavert,7,168,175,184.0
smiley,6,357,363,193.38842975206612
merit,316,228,544,32.35294117647059
sharif,5,2685,2690,199.25650557620818
oyindamola,90,5,95,178.94736842105263
jahziel,15,1252,1267,195.26440410418311
omi,90,75,165,18.181818181818183
demetrie,17,308,325,179.07692307692307
chigozirim,6,33,39,138.46153846153845
ravon,264,906,1170,109.74358974358975
mykale,28,136,164,131.70731707317074
chadwick,22,13276,13298,199.338246352835
tim,188,83358,83546,199.099897062696
diandre,15,577,592,189.86486486486487
jeremiah,699,225674,226373,198.76487036881608
olice,7,52,59,152.54237288135593
sam,1576,127234,128810,195.1059700333825
lavish,11,5,16,75.0
gaither,6,642,648,196.2962962962963
kairo,295,11224,11519,189.75605521312613
darell,10,5420,5430,199.2633517495396
syx,30,112,142,115.49295774647888
sherrell,2782,439,3221,145.4827693262962
jensyn,802,280,1082,96.48798521256931
lavergne,526,17,543,187.4769797421731
rasheen,95,1395,1490,174.49664429530202
frankie,37162,42268,79430,12.856603298501826
toney,194,6416,6610,188.26021180030256
kenari,39,10,49,118.36734693877551
tyria,333,6,339,192.92035398230087
dristin,12,33,45,93.33333333333333
kent,171,69322,69493,199.01572820284056
crosby,612,5878,6490,162.2804314329738
jesie,38,26,64,37.5
marilyn,373791,1066,374857,198.86249956650136
doninique,73,19,92,117.3913043478261
ukiah,6,128,134,182.08955223880596
unknown,9826,9888,19714,0.6289946231104798
braelynn,9829,210,10039,191.63263273234386
ronald,3844,1082247,1086091,198.58428069102865
lovis,26,68,94,89.36170212765957
denver,4235,19178,23413,127.64703369922692
anani,334,12,346,186.1271676300578
poe,29,88,117,100.85470085470085
yubin,10,5,15,66.66666666666666
clement,6,14167,14173,199.83066393847457
collis,10,1309,1319,196.96739954510994
benaiah,5,2416,2421,199.17389508467576
laurent,20,1994,2014,196.02780536246277
aurion,30,42,72,33.33333333333333
namari,301,466,767,43.02477183833116
coma,17,5,22,109.09090909090908
kaisyn,232,855,1087,114.62741490340387
cedrick,10,6342,6352,199.37027707808562
mazikeen,1545,11,1556,197.17223650385606
kastle,5,80,85,176.47058823529412
anhad,43,205,248,130.64516129032256
kamaury,5,109,114,182.45614035087718
reginald,757,111551,112308,197.30384300316985
rogene,806,5,811,197.53390875462392
yasmin,21747,80,21827,198.53392587162688
gabriyel,13,11,24,16.666666666666664
emiko,1850,5,1855,198.92183288409703
rion,319,1506,1825,130.08219178082192
kendyll,1558,24,1582,193.93173198482933
gareth,5,4389,4394,199.54483386436047
patti,44711,46,44757,199.58889112317627
flossie,21808,37,21845,199.32249942778668
adrianna,48284,23,48307,199.80955141076862
korbin,183,9334,9517,192.3085005779132
tyrae,35,326,361,161.21883656509695
simcha,227,2009,2236,159.39177101967798
haegan,5,39,44,154.54545454545453
yasiah,10,98,108,162.96296296296296
female,1292,5,1297,198.4579799537394
dee,15830,7269,23099,74.12442097060479
bradleigh,479,11,490,191.0204081632653
aniston,2581,24,2605,196.31477927063338
rasa,97,5,102,180.3921568627451
remi,22881,4185,27066,138.15118598980268
amir,510,55747,56257,196.37378459569476
ayomikun,59,129,188,74.46808510638297
lejeune,6,5,11,18.181818181818183
neva,21220,6,21226,199.8869311222086
sundeep,5,248,253,192.09486166007906
gates,44,455,499,164.72945891783567
