jaslene,17757,2006,2007,18357,600
jenascia,-15183,2004,2005,2433,17616
lashanti,15092,2001,2002,16796,1704
yaretsi,15038,2005,2006,19108,4070
baya,14888,2008,2009,17937,3049
mareli,14856,2006,2007,16391,1535
marializ,14782,2005,2006,18180,3398
thaily,14673,2010,2011,16813,2140
torah,14588,2009,2010,19987,5399
ehlani,14399,2019,2020,16196,1797
tenleigh,14187,2009,2010,19950,5763
jaiyana,14180,2007,2008,18759,4579
nashali,14111,2003,2004,17589,3478
makhia,14003,2001,2002,16925,2922
xaila,13952,2020,2021,17385,3433
xylani,13923,2023,2024,17485,3562
setareh,13867,2015,2016,18691,4824
skarlette,13654,2009,2010,19814,6160
inaaya,13634,2005,2006,17453,3819
sharissa,13562,2001,2002,17528,3966
larkyn,13488,2005,2006,18011,4523
evoleth,13422,2008,2009,18399,4977
trishelle,13266,2002,2003,17927,4661
suraiya,13266,2009,2010,19867,6601
jaeliana,13234,2010,2011,18085,4851
yatana,-13160,2005,2006,6808,19968
xiamara,13113,2019,2020,17863,4750
ashanty,13060,2001,2002,15619,2559
lizania,-12961,2007,2008,3690,16651
mekenna,12904,2009,2010,19220,6316
sinae,-12872,2005,2006,6782,19654
coraima,12862,1992,1993,13737,875
muntaha,12817,2008,2009,19553,6736
jazlene,12792,2006,2007,14203,1411
sabryn,12778,1997,1998,15618,2840
rosibel,12775,2009,2010,19625,6850
nevaeha,12725,2001,2002,17198,4473
atianna,12672,2004,2005,16416,3744
soumya,12653,2009,2010,19835,7182
yizel,12640,2010,2011,19747,7107
saddie,12597,2012,2013,19026,6429
paizlee,12557,2006,2007,19310,6753
zoejane,12544,2013,2014,19253,6709
maleni,12531,2017,2018,15257,2726
aleyza,12504,2013,2014,16688,4184
keysi,12489,2017,2018,17204,4715
wynonna,12446,2016,2017,18723,6277
londynn,12426,2006,2007,18885,6459
iyania,12407,2000,2001,15986,3579
zamariyah,12391,2008,2009,20437,8046
rakayla,12386,2009,2010,19536,7150
tanairi,12368,1990,1991,15022,2654
saylah,12357,2014,2015,18778,6421
shanik,12325,2010,2011,19399,7074
skyelynn,12301,2006,2007,19662,7361
sinthia,12297,2006,2007,19656,7359
leahna,12278,2008,2009,19237,6959
lylia,12267,2010,2011,18744,6477
rosi,12248,2008,2009,19869,7621
kadejah,12227,1992,1993,14266,2039
elide,12205,1993,1994,14141,1936
tatiyana,12201,2017,2018,18183,5982
saanvi,12189,2002,2003,17565,5376
javiah,12130,2017,2018,16949,4819
aylany,12125,2023,2024,15511,3386
jazsmin,12122,1997,1998,14710,2588
dezyre,12115,2006,2007,17877,5762
kristell,12107,2010,2011,18562,6455
angelli,12087,2006,2007,15303,3216
katee,12084,2007,2008,19024,6940
srinika,12081,2008,2009,20093,8012
yeneisy,-12058,2007,2008,5370,17428
anyelin,12045,2006,2007,17434,5389
kiora,12034,2019,2020,16855,4821
mikela,12022,2013,2014,18389,6367
riannah,12018,2005,2006,18569,6551
yorley,12003,2010,2011,14909,2906
rhiyan,11942,2017,2018,17909,5967
xara,11931,2007,2008,20436,8505
quetzaly,11910,2002,2003,17465,5555
rozalyn,11908,2003,2004,17833,5925
sherline,11890,2009,2010,16977,5087
violett,11887,2008,2009,20322,8435
rona,11872,2008,2009,19859,7987
rielle,11868,2007,2008,19896,8028
leiya,11858,2006,2007,18836,6978
shauni,11833,1989,1990,14173,2340
winslet,11797,2017,2018,18303,6506
tanith,11792,2005,2006,18906,7114
latrina,-11791,2005,2006,7020,18811
vela,11789,2009,2010,20044,8255
eevee,11779,2013,2014,17298,5519
aliannah,11773,2009,2010,15345,3572
suhani,11763,2002,2003,15171,3408
jeily,11754,2015,2016,17632,5878
rumaisa,11751,2015,2016,18609,6858
meckenzie,11711,2004,2005,17882,6171
meygan,11677,2002,2003,17222,5545
sita,11660,2008,2009,20065,8405
kayah,11651,2000,2001,16272,4621
dayanira,11650,2007,2008,14291,2641
sabriyah,11637,2011,2012,19035,7398
yanaisy,-11594,2023,2024,5942,17536
ayse,11591,2012,2013,17263,5672
perpetua,11580,2012,2013,18881,7301
zoei,11579,2000,2001,17644,6065
yuritza,11572,2013,2014,19198,7626
tinlee,11549,2009,2010,17132,5583
meka,11541,2007,2008,19525,7984
zyara,11539,2006,2007,20056,8517
yulitza,11538,2001,2002,17925,6387
aoki,11529,2007,2008,17899,6370
renli,11523,2023,2024,17077,5554
sabriya,11521,2008,2009,19898,8377
xiana,11520,2010,2011,19691,8171
jameah,11517,2008,2009,18691,7174
syona,11506,2011,2012,19265,7759
madilynne,-11500,2023,2024,5199,16699
kalah,-11457,2008,2009,7215,18672
brisley,-11452,2023,2024,4204,15656
rihana,11449,2017,2018,17918,6469
tresa,11414,2007,2008,20350,8936
tiyanna,11410,2014,2015,18994,7584
shatasha,-11407,1995,1996,4082,15489
vannia,11400,2006,2007,19899,8499
railee,11396,2007,2008,19835,8439
niralya,11394,2016,2017,18125,6731
savani,11383,2022,2023,15014,3631
jazzelle,11380,2005,2006,17605,6225
paitynn,11377,2008,2009,19730,8353
