name,rank_jump,first_year,second_year,rank_1,rank_2
nazai,11707,2023,2024,13560,1853
yanixan,11268,2007,2008,14324,3056
theseus,11241,2011,2012,14141,2900
nahmir,10950,2017,2018,13643,2693
jceon,10670,2012,2013,13111,2441
barack,10133,2007,2008,12568,2435
trendon,10099,2007,2008,14231,4132
jameis,10057,2013,2014,12921,2864
zylus,10023,2023,2024,12228,2205
rehaan,10004,2006,2007,13577,3573
kyiir,9839,2023,2024,13323,3484
kolston,9830,2009,2010,13595,3765
omere,9811,2019,2020,13593,3782
jakwon,9802,2003,2004,11624,1822
yussuf,9625,2009,2010,14469,4844
ewen,9572,2023,2024,12801,3229
khale,9504,2009,2010,13559,4055
nihit,9229,2017,2018,13678,4449
younis,9222,2009,2010,14464,5242
zakhi,9189,2006,2007,13991,4802
sarthak,9181,2008,2009,14250,5069
rhydian,9150,2014,2015,11820,2670
zeno,9131,2007,2008,14378,5247
miliano,9124,2016,2017,13545,4421
srihan,-9059,2023,2024,4860,13919
muadh,8996,2015,2016,13419,4423
vic,8992,2011,2012,14224,5232
zehaan,-8969,2023,2024,5246,14215
vardaan,8968,2019,2020,13989,5021
jurem,-8960,2008,2009,4469,13429
sameir,8946,2022,2023,13973,5027
wiatt,8944,2009,2010,14410,5466
nilmar,8927,2009,2010,13906,4979
zachari,8903,2018,2019,14047,5144
taeden,8882,2015,2016,13800,4918
kayceon,8866,2012,2013,13261,4395
maxxwell,8866,2007,2008,13703,4837
thoryn,8830,2014,2015,13863,5033
zlatan,8787,2009,2010,14526,5739
zalman,8772,2013,2014,14020,5248
kenson,8767,2010,2011,13352,4585
romario,8761,1993,1994,9885,1124
thierno,8754,2018,2019,13886,5132
deluca,8722,2017,2018,12738,4016
rithvik,8688,1999,2000,11256,2568
kaelum,8684,2017,2018,13220,4536
ezio,8669,2009,2010,13075,4406
tremon,8661,2008,2009,14439,5778
zylon,8657,2022,2023,14320,5663
uziah,8654,2009,2010,14370,5716
ithiel,8648,2021,2022,12867,4219
dragon,8633,2011,2012,12800,4167
zaheer,8632,2019,2020,14075,5443
thijs,8629,2006,2007,13816,5187
joriel,8628,2016,2017,13158,4530
worth,8623,2020,2021,13948,5325
leveon,8622,2014,2015,13261,4639
kuiper,8604,2021,2022,13237,4633
mahlik,8590,2008,2009,13823,5233
lio,8588,2011,2012,13552,4964
thaxton,8563,2018,2019,13882,5319
vishaan,8516,2021,2022,13942,5426
navon,8509,2021,2022,13480,4971
kaion,8502,2015,2016,13042,4540
burhanuddin,-8499,2020,2021,3936,12435
wrangler,8497,2010,2011,14161,5664
eivin,8445,2012,2013,12812,4367
darikson,-8440,2023,2024,4247,12687
nuchem,8439,2020,2021,13502,5063
chasyn,8426,2009,2010,12812,4386
grayer,8421,2007,2008,13016,4595
zurich,8416,2016,2017,14202,5786
kix,8414,2021,2022,13204,4790
keyler,8405,2009,2010,13555,5150
jhaziel,8404,2022,2023,13203,4799
luxxen,8395,2022,2023,13569,5174
nahel,8393,2020,2021,13447,5054
riddick,8383,2003,2004,12357,3974
jaiceon,8377,2012,2013,10149,1772
